Settlement Date,Short Interest,Avg. Daily Share Volume,Days to Cover
04/15/2024,106659131,99414803,1.07287
04/30/2024,107440586,124941427,1.0
05/15/2024,104790820,78621564,1.332851
05/31/2024,101325315,72407060,1.399384
06/14/2024,105382772,71592597,1.471979
06/28/2024,105201302,76021373,1.383838
07/15/2024,104460574,162196035,1.0
07/31/2024,86969962,108900383,1.0
08/15/2024,81972363,75560689,1.084855
08/30/2024,78698016,70877174,1.110344
09/13/2024,77219507,82966896,1.0
09/30/2024,74332630,77953284,1.0
10/15/2024,79364249,82726604,1.0
10/31/2024,77944508,82618395,1.0
11/15/2024,76444266,127500997,1.0
11/29/2024,77192871,75481098,1.022678
12/13/2024,80765425,82132352,1.0
12/31/2024,67379077,97574248,1.0
01/15/2025,63254084,81212823,1.0
01/31/2025,59612004,70139920,1.0
02/14/2025,61498198,81171592,1.0
02/28/2025,67129145,84714426,1.0
03/14/2025,81331870,125160315,1.0
03/31/2025,76463964,132428494,1.0
